| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-09-14 | 63.99 | 71.39 | 71.39 | 61.04 | 244364 | 1621049895 | 13.25 |
| 2026-09-11 | 62.04 | 64.90 | 65.93 | 61.50 | 202227 | 1289360000 | 10.97 |
| 2026-09-10 | 63 | 63.33 | 66.65 | 62.26 | 194611 | 1259810000 | 10.56 |
| 2026-09-09 | 65.50 | 62.92 | 65.86 | 61.44 | 166260 | 1054310000 | 9.02 |
| 2026-09-08 | 61.37 | 64.30 | 64.85 | 60.39 | 185830 | 1163680000 | 10.08 |
| 2026-09-07 | 57.90 | 61.30 | 61.96 | 57.90 | 186755 | 1129060000 | 10.13 |
| 2026-09-04 | 59.51 | 57.35 | 61.82 | 56.80 | 149214 | 881360000 | 8.09 |
| 2026-09-03 | 58.20 | 59.08 | 59.40 | 56.90 | 88376 | 514300000 | 4.79 |
| 2026-09-02 | 57.84 | 57.46 | 58.08 | 56.38 | 60578 | 346270000 | 3.29 |
| 2026-09-01 | 60.02 | 58.31 | 60.42 | 57.90 | 80682 | 473270000 | 4.38 |
| 2026-08-31 | 55.89 | 60 | 60.70 | 55.50 | 100817 | 588000000 | 5.47 |
| 2026-08-28 | 58.66 | 57 | 59.59 | 56.90 | 67895 | 394770000 | 3.68 |
| 2026-08-27 | 57.13 | 59.05 | 59.28 | 56.10 | 95425 | 553500000 | 5.18 |
| 2026-08-26 | 58 | 56.05 | 58.30 | 54.60 | 74451 | 416840000 | 4.04 |
| 2026-08-25 | 54.62 | 57.72 | 58.87 | 53.45 | 97545 | 546410000 | 5.29 |
| 2026-08-24 | 57.70 | 56.60 | 59.28 | 54.68 | 87381 | 497810000 | 4.74 |
| 2026-08-21 | 56.16 | 57.71 | 58.36 | 55.15 | 60241 | 345060000 | 3.27 |
| 2026-08-20 | 56.03 | 56.52 | 57.74 | 55 | 79341 | 448500000 | 4.30 |
| 2026-08-19 | 60 | 55.63 | 60.49 | 55.63 | 96127 | 554070000 | 5.21 |
| 2026-08-18 | 61.70 | 61.81 | 62.12 | 60.06 | 84325 | 516060000 | 4.57 |
| 2026-08-17 | 60.17 | 61.82 | 61.88 | 59.20 | 83686 | 508200000 | 4.54 |
| 2026-08-14 | 59.34 | 59.98 | 60.20 | 58.35 | 81395 | 482250000 | 4.41 |
| 2026-08-13 | 59.04 | 58.30 | 60.77 | 58.30 | 108274 | 647550000 | 5.87 |
| 2026-08-12 | 57.27 | 58.09 | 58.41 | 56.50 | 80377 | 463370000 | 4.36 |
| 2026-08-11 | 57.35 | 57.18 | 58.62 | 56.32 | 71783 | 412340000 | 3.89 |
| 2026-08-10 | 58.18 | 57.44 | 59.38 | 56.56 | 86639 | 496980000 | 4.70 |
| 2026-08-07 | 57.50 | 58.19 | 58.66 | 55.77 | 107598 | 620850000 | 5.83 |
| 2026-08-06 | 54.87 | 56.75 | 57.46 | 54.28 | 107340 | 602840000 | 5.82 |
| 2026-08-05 | 51.79 | 55.60 | 56.70 | 51.20 | 121148 | 661010000 | 6.57 |
| 2026-08-04 | 50.49 | 52.44 | 53.01 | 49.86 | 104924 | 542120000 | 5.69 |
| 2026-08-03 | 51 | 49.76 | 52.97 | 49.38 | 113223 | 573540000 | 6.14 |
| 2026-07-31 | 52.13 | 51.98 | 54.42 | 51.50 | 162070 | 865800000 | 8.79 |
| 2026-07-30 | 54.23 | 49.47 | 54.94 | 49.47 | 131539 | 668860000 | 7.13 |
| 2026-07-29 | 56.53 | 54.97 | 57.19 | 52.58 | 110414 | 601120000 | 5.99 |
| 2026-07-28 | 59.51 | 56.53 | 59.79 | 56 | 101702 | 589860000 | 5.51 |
| 2026-07-27 | 58.95 | 61.32 | 61.50 | 57.26 | 97102 | 582270000 | 5.27 |
| 2026-07-24 | 60 | 59.01 | 61.99 | 59 | 100628 | 606510000 | 5.46 |
| 2026-07-23 | 64.90 | 60.97 | 66.33 | 60.20 | 152813 | 958880000 | 8.29 |
| 2026-07-22 | 60 | 64.71 | 67.73 | 59.99 | 236853 | 1549960000 | 12.84 |
| 2026-07-21 | 59.37 | 61.57 | 61.63 | 51.67 | 172180 | 991400000 | 9.34 |
| 2026-07-20 | 62 | 57.36 | 63.07 | 56.42 | 167289 | 987280000 | 9.07 |
| 2026-07-17 | 68.76 | 62.69 | 69.35 | 62.69 | 113729 | 733730000 | 6.17 |
| 2026-07-16 | 70 | 69.66 | 73.17 | 67.18 | 112318 | 791740000 | 6.09 |
| 2026-07-15 | 75.32 | 71.01 | 76.41 | 69.97 | 141127 | 1020740000 | 7.65 |
| 2026-07-14 | 80.11 | 75.69 | 82.82 | 72.66 | 197353 | 1487190000 | 10.70 |
| 2026-07-13 | 82.32 | 80.73 | 89 | 80 | 226377 | 1926510000 | 12.27 |
| 2026-07-10 | 88.51 | 82.33 | 91 | 82.33 | 221879 | 1926370000 | 12.03 |
| 2026-07-09 | 82.50 | 88.55 | 89.32 | 80.65 | 234522 | 1989500000 | 12.72 |
| 2026-07-08 | 84.14 | 83.35 | 88 | 82.42 | 215494 | 1829610000 | 11.68 |
| 2026-07-07 | 80.72 | 82.78 | 86.75 | 80.60 | 235726 | 1987770000 | 12.78 |
| 2026-07-06 | 77.74 | 82.10 | 85.47 | 75.88 | 247802 | 2016280000 | 13.44 |
| 2026-07-03 | 80.71 | 77.70 | 82.35 | 77.50 | 152109 | 1209810000 | 8.25 |
| 2026-07-02 | 80 | 79.40 | 87.17 | 78.95 | 194802 | 1616740000 | 10.56 |
| 2026-07-01 | 87.98 | 82.68 | 90.50 | 82.20 | 182027 | 1570260000 | 9.87 |
| 2026-06-30 | 81.50 | 87.98 | 87.98 | 80 | 165423 | 1417510000 | 8.97 |
| 2026-06-29 | 84.52 | 79.98 | 88.75 | 78.66 | 162478 | 1336770000 | 8.81 |
| 2026-06-26 | 90 | 84.50 | 91 | 83.40 | 158396 | 1368890000 | 8.59 |
| 2026-06-25 | 93 | 91.65 | 94.48 | 89.60 | 203160 | 1861400000 | 11.02 |
| 2026-06-24 | 84.69 | 93.16 | 93.16 | 84.02 | 210294 | 1878270000 | 11.40 |
| 2026-06-23 | 94.50 | 84.69 | 95.15 | 84.69 | 198859 | 1739720000 | 10.78 |
