
#### sz002897 意华股份 (2026-06-30)

**十大股东**

| no | name | holdShares | holdPct | holdChange |
| --- | --- | --- | --- | --- |
| 1 | 意华控股集团有限公司 | 74208294 | 38.28 | 0 |
| 2 | 香港中央结算有限公司 | 6094838 | 3.14 | 4725754 |
| 3 | 方建斌 | 3131144 | 1.61 | 0 |
| 4 | 蒋友安 | 2714249 | 1.40 | 0 |
| 5 | 方建文 | 2632848 | 1.36 | 0 |
| 6 | 北京禧悦私募基金管理有限公司-禧悦保诚1号私募证券投资基金 | 1755000 | 0.91 | 0 |
| 7 | 蔡胜才 | 1063623 | 0.55 | 0 |
| 8 | J.P.Morgan Securities PLC-自有资金 | 1002527 | 0.52 | 0 |
| 9 | 上海聚鸣投资管理有限公司-聚鸣景宏电子科技私募证券投资基金 | 978600 | 0.50 | 0 |
| 10 | 上海聚鸣投资管理有限公司-聚鸣招享价值尊享私募证券投资基金 | 779450 | 0.40 | 0 |

**十大流通股东**

| no | name | holdShares | holdPct | holdChange |
| --- | --- | --- | --- | --- |
| 1 | 意华控股集团有限公司 | 74208294 | 38.28 | 0 |
| 2 | 香港中央结算有限公司 | 6094838 | 3.14 | 4725754 |
| 3 | 北京禧悦私募基金管理有限公司-禧悦保诚1号私募证券投资基金 | 1755000 | 0.91 | 0 |
| 4 | J.P.Morgan Securities PLC-自有资金 | 1002527 | 0.52 | 0 |
| 5 | 上海聚鸣投资管理有限公司-聚鸣景宏电子科技私募证券投资基金 | 978600 | 0.50 | 0 |
| 6 | 方建斌 | 782786 | 0.40 | 0 |
| 7 | 上海聚鸣投资管理有限公司-聚鸣招享价值尊享私募证券投资基金 | 779450 | 0.40 | 0 |
| 8 | 高盛公司有限责任公司 | 737402 | 0.38 | 0 |
| 9 | UBS AG | 685690 | 0.35 | 0 |
| 10 | 上海聚鸣投资管理有限公司-聚鸣匠传3号私募证券投资基金 | 685607 | 0.35 | 0 |

**股东户数统计**

| date | totalSHNum | aSHNum | avgHoldShares | aAvgHoldShares |
| --- | --- | --- | --- | --- |
| 2026-06-30 | 44376 | 44376 | 4369.04 | 4369.04 |
| 2026-03-31 | 44488 | 44488 | 4358.04 | 4358.04 |
| 2026-03-20 | 47813 | 47813 | 4054.98 | 4054.98 |
| 2026-03-10 | 46244 | 46244 | 4192.56 | 4192.56 |
| 2026-02-27 | 44380 | 44380 | 4368.65 | 4368.65 |
| 2026-02-10 | 29795 | 29795 | 6507.16 | 6507.16 |
| 2026-01-30 | 30161 | 30161 | 6428.19 | 6428.19 |
| 2026-01-20 | 27999 | 27999 | 6924.56 | 6924.56 |
| 2026-01-09 | 28026 | 28026 | 6917.89 | 6917.89 |
| 2025-12-31 | 29161 | 29161 | 6648.63 | 6648.63 |
| 2025-12-19 | 29244 | 29244 | 6629.76 | 6629.76 |
| 2025-12-10 | 29570 | 29570 | 6556.67 | 6556.67 |
| 2025-11-28 | 29946 | 29946 | 6474.34 | 6474.34 |
| 2025-11-20 | 30089 | 30089 | 6443.57 | 6443.57 |
| 2025-11-10 | 33061 | 33061 | 5864.33 | 5864.33 |
| 2025-10-31 | 28236 | 28236 | 6866.44 | 6866.44 |
| 2025-10-20 | 29744 | 29744 | 6518.31 | 6518.31 |
| 2025-09-30 | 32397 | 32397 | 5984.53 | 5984.53 |
| 2025-09-19 | 33530 | 33530 | 5782.31 | 5782.31 |
